"Date","JYP ENTERTAINMENT","SM ENTERTAINMENT","YG ENTERTAINMENT","FNC ENTERTAINMENT","CUBE ENTERTAINMENT"
"200708","990309,9","738658,90","735473,80","88487,60","121176,30"
"200709","999183,4","738658,90","720909,80","89493,10","119581,90"
"200710","1031129,0","762108,30","698153,70","89780,40","114532,90"
"200713","1013382,0","772660,90","696333,10","87912,90","114001,40"
"200714","1036453,0","789075,10","705435,40","86907,40","114001,40"
"200715","1038228,0","766798,10","681769,70","87194,70","109882,40"
"200716","1045327,0","750383,90","691782,30","87769,30","111211,10"
"200717","1109218,0","782040,40","721820,00","88200,30","118651,80"
"200720","1151812,0","791420,60","728191,40","91216,90","117987,40"
"200721","1134064,0","767970,50","709986,90","91073,20","119449,00"
"200722","1135839,0","726934,40","698153,70","89636,80","119050,40"
"200723","1114542,0","729279,30","707255,90","89493,10","118518,90"
"200724","1075498,0","708174,80","697243,40","86332,80","115197,20"
"200727","1095020,0","729279,30","704525,10","87769,30","124896,60"
"200728","1073722,0","708174,80","709076,60","87194,70","120379,10"
"200729","1109218,0","712864,60","735473,80","87482,00","126623,90"
"200730","1054200,0","709347,20","718178,90","87482,00","125826,70"
"200731","1059525,0","732796,60","740934,90","87625,60","126623,90"
"200803","1068398,0","762108,30","776434,40","86907,40","124498,00"
"200804","1128740,0","777350,60","781895,60","87625,60","125029,50"
"200805","1166009,0","776178,20","819215,70","88918,50","122106,40"
"200806","1141163,0","792593,00","820126,00","88200,30","127421,10"
"200807","1153586,0","806662,30","800100,80","86045,50","124232,30"
"200810","1256522,0","819559,80","830138,60","81879,70","122505,00"
"200811","1249423,0","817214,90","831959,20","82885,30","121840,60"
"200812","1235225,0","800800,10","805561,90","84034,40","118651,80"
"200813","1307989,0","838319,40","878380,90","86907,40","122239,30"
"200814","1290242,0","841836,80","882932,40","85183,60","119050,40"
"200817","1290242,0","841836,80","882932,40","85183,60","119050,40"
"200818","1224576,0","832456,60","851074,10","80012,30","110015,30"
"200819","1311539,0","916874,80","897496,50","82454,30","112406,90"
"200820","1242324,0","881701,00","846522,60","75559,20","106295,00"
"200821","1229901,0","841836,80","855976,10","78575,80","113868,50"
"200824","1249423,0","843009,20","857809,20","78001,20","123169,30"
"200825","1263621,0","853561,10","892634,40","79006,80","124099,40"
"200826","1286693,0","845354,10","923794,10","79437,70","130477,10"
"200827","1242324,0","805489,80","932958,70","79294,00","130211,40"
"200828","1245874,0","821922,30","898133,50","78288,50","136854,80"
"200831","1236999,0","806679,30","855059,30","77857,60","138449,30"
"200901","1295566,0","838337,10","888052,10","78288,50","122903,60"
"200902","1331061,0","874684,70","920128,70","79581,30","121574,90"
"200903","1416349,0","911032,30","956786,90","81736,10","118120,30"
"200904","1448297,0","907514,30","958619,90","81592,40","118917,60"
"200907","1455396,0","905169,40","1002610,00","80586,90","118253,20"
"200908","1506867,0","921584,90","1055765,00","81448,80","121176,30"
"200909","1442972,0","902824,60","1057597,00","81161,50","116525,90"
"200910","1441197,0","889927,10","1057597,00","82597,90","117588,80"
"200911","1448297,0","886409,80","1075927,00","81879,70","148711,80"
"200914","1418124,0","877029,60","1063096,00","83316,20","148711,80"
"200915","1421674,0","882892,40","1063096,00","86620,10","148374,60"
"200916","1423449,0","879374,40","1068595,00","85327,30","145508,30"
